###
# RoG, CIP1,CIP2,CIP3 RoG (remove these lines before starting to cluster)
###
114 9.466863,1108.275708,1247.827428,1620.599506 9.466863
115 9.316477,1179.864785,1286.119755,1647.087477 9.316477
116 9.408117,1134.714092,1239.015226,1624.951837 9.408117
117 9.390031,1176.283449,1287.511043,1636.638748 9.390031
118 9.438487,1163.648546,1244.618913,1614.150780 9.438487
119 9.415366,1170.199857,1303.701826,1637.209954 9.415366
120 9.367132,1161.928746,1303.712036,1641.681145 9.367132
121 9.428394,1114.736808,1252.491096,1611.837619 9.428394
122 9.542152,1079.290599,1215.038831,1578.884203 9.542152
123 9.519315,1076.687282,1253.861744,1568.449880 9.519315
124 9.760713,1016.126696,1143.223534,1504.053342 9.760713
125 9.802687,1015.437456,1176.888363,1476.994298 9.802687
126 9.355241,1121.124774,1310.190602,1623.354135 9.355241
127 9.434934,1140.362192,1276.412672,1615.966090 9.434934
128 9.344847,1165.319150,1329.038048,1648.592803 9.344847
129 9.191862,1208.589919,1355.478395,1677.955900 9.191862
130 9.315036,1173.312522,1340.941509,1648.534959 9.315036
131 9.496600,1109.399217,1273.484343,1596.374666 9.496600
132 9.507480,1165.549325,1277.850071,1596.554705 9.507480
133 9.721381,1090.437512,1189.463757,1527.454190 9.721381
134 9.423946,1189.211457,1222.234405,1581.131304 9.423946
135 9.440480,1147.658854,1262.604804,1588.473254 9.440480
136 9.930124,973.320163,1147.981004,1458.454223 9.930124
137 10.094151,971.211122,1073.803423,1421.680973 10.094151
138 10.248018,936.584545,1032.806010,1391.407788 10.248018
139 10.200838,881.818443,1107.018516,1397.189729 10.200838
140 10.169129,949.136440,1088.431698,1399.019027 10.169129
141 10.156220,922.764984,1066.926008,1393.343922 10.156220
142 10.275604,875.504426,1108.186542,1353.839324 10.275604
143 10.264334,880.430020,1139.225930,1387.727125 10.264334
144 10.371729,874.515605,1089.494905,1337.874974 10.371729
145 10.429604,830.724266,1056.291233,1309.793866 10.429604
146 10.338601,859.137431,1076.482304,1336.664862 10.338601
147 10.338843,878.531226,1061.334250,1333.453994 10.338843
148 10.115432,916.214910,1134.055965,1400.971041 10.115432
149 10.004616,956.698155,1143.163655,1416.420964 10.004616
150 10.088322,946.409621,1108.446429,1411.663525 10.088322
151 10.031913,966.160432,1128.329695,1411.266083 10.031913
152 9.835449,1042.789536,1112.873404,1441.855892 9.835449
153 9.838373,1104.161376,1156.227220,1517.169187 9.838373
154 9.761137,1066.775009,1141.650811,1498.791490 9.761137
155 9.600502,1122.410349,1203.327135,1540.166764 9.600502
156 9.804438,1029.662661,1149.889282,1480.270467 9.804438
157 9.814760,991.897025,1137.902563,1468.357633 9.814760
158 9.964238,958.407813,1120.572757,1445.537421 9.964238
159 9.865294,1011.552353,1149.737709,1484.586573 9.865294
160 9.834001,991.378538,1107.454808,1471.604404 9.834001
161 9.600942,1056.592127,1154.772683,1525.751121 9.600942
162 10.118631,967.465857,1069.116853,1409.920661 10.118631
163 10.068343,965.371881,1081.181423,1413.977832 10.068343
164 9.480380,1126.060278,1264.710302,1574.871574 9.480380
165 9.497022,1113.424046,1300.469076,1572.038999 9.497022
166 10.054055,975.921547,1079.964494,1430.343959 10.054055
167 10.209553,938.416981,1035.803378,1390.952987 10.209553
168 9.631264,1078.524450,1171.722631,1501.944515 9.631264
169 9.585728,1077.299207,1220.055181,1521.377402 9.585728
170 9.467018,1141.245386,1237.958875,1552.620734 9.467018
171 9.665064,1082.757564,1170.356635,1518.891289 9.665064
172 9.921243,969.398765,1162.868245,1447.167799 9.921243
173 9.796196,990.887536,1168.234289,1470.167540 9.796196
174 9.740525,1037.317442,1096.163535,1494.478371 9.740525
175 9.817970,1017.327090,1159.634995,1491.208860 9.817970
176 9.785618,1035.825435,1171.174003,1490.869808 9.785618
177 9.630146,1076.736606,1185.616178,1538.245280 9.630146
178 9.655779,1068.587291,1167.760044,1509.833703 9.655779
179 9.914065,991.544816,1157.356464,1478.427996 9.914065
180 9.846498,1045.043141,1129.515796,1481.120595 9.846498
181 10.091567,967.101597,1046.479051,1431.591480 10.091567
182 10.147016,999.105017,1050.142843,1430.231589 10.147016
183 10.195579,962.500051,1072.040812,1434.757953 10.195579
184 10.357799,888.251693,995.173795,1354.981415 10.357799
185 10.086802,931.726713,1036.688232,1422.257427 10.086802
186 10.246315,918.633716,1037.504274,1384.921591 10.246315
187 10.321906,895.417746,1020.656698,1355.570383 10.321906
188 10.183178,941.920947,1053.412830,1411.237222 10.183178
189 10.063258,968.893142,1094.898885,1433.671071 10.063258
190 9.882793,988.949821,1103.326644,1450.394767 9.882793
191 10.026809,951.177989,1076.952393,1401.366751 10.026809
192 9.463342,1176.108022,1280.659431,1596.342560 9.463342
193 9.463602,1183.814607,1252.770298,1600.100260 9.463602
194 9.314886,1207.595299,1280.302584,1630.709407 9.314886
195 9.515017,1150.727537,1237.951391,1582.987642 9.515017
196 9.688230,1033.906502,1220.667768,1530.331479 9.688230
197 9.640600,1074.761920,1198.741002,1537.434491 9.640600
198 9.655587,1039.673990,1174.312541,1536.776199 9.655587
199 9.775706,1048.392629,1163.851024,1510.890693 9.775706
200 9.647888,1106.666074,1170.348931,1536.286298 9.647888
201 9.712760,1100.655091,1172.155083,1514.027944 9.712760
202 9.801236,1022.883431,1122.021158,1489.828773 9.801236
203 9.972046,968.563896,1080.191236,1437.303152 9.972046
204 10.005606,980.858395,1076.147774,1416.733991 10.005606
205 10.023603,984.592227,1045.102410,1416.771859 10.023603
206 9.823367,1036.069798,1152.168825,1504.721196 9.823367
207 9.841002,1047.674825,1118.313279,1481.430993 9.841002
208 9.888165,1014.972869,1116.927023,1461.959093 9.888165
209 9.877802,1021.920320,1125.535783,1470.487425 9.877802
210 10.057493,1002.935211,1099.619711,1435.055184 10.057493
211 10.005068,1007.464709,1098.827712,1454.256850 10.005068
212 9.870014,1012.457630,1168.017611,1499.287822 9.870014
213 9.908095,1006.159273,1186.901899,1465.885496 9.908095
214 9.820665,1046.417841,1215.519295,1494.011099 9.820665
215 9.752611,1044.564446,1221.288922,1506.854665 9.752611
216 9.797307,1025.207824,1181.051401,1494.801190 9.797307
217 9.618031,1101.050593,1227.478455,1537.800260 9.618031
218 9.816473,1053.332712,1146.461274,1482.775067 9.816473
219 9.891297,1015.700550,1129.585282,1465.739018 9.891297
220 9.770461,1042.603400,1123.318088,1474.530319 9.770461
221 9.650061,1071.552564,1195.248930,1492.851067 9.650061
222 9.632789,1047.200388,1185.175540,1495.468264 9.632789
223 9.512102,1077.203907,1238.807938,1518.583237 9.512102
224 9.699224,1022.772364,1200.242986,1482.589543 9.699224
225 9.857450,983.968063,1151.690297,1435.083029 9.857450
226 9.846600,1066.448724,1165.998711,1507.167933 9.846600
227 9.942742,1042.163088,1126.899820,1457.585998 9.942742
228 9.758204,1099.657311,1183.301927,1526.661799 9.758204
229 9.803205,1062.730367,1155.059832,1507.713438 9.803205
230 9.796079,1061.210878,1206.330957,1515.138865 9.796079
231 9.741392,1086.877280,1149.841612,1512.592492 9.741392
232 9.742535,1082.001798,1197.666746,1521.781019 9.742535
233 9.458186,1159.717967,1249.249422,1579.568231 9.458186
234 9.390081,1166.452563,1280.859001,1606.594802 9.390081
235 9.358525,1198.730069,1285.318288,1625.065589 9.358525
236 9.466271,1115.270167,1224.333663,1604.958484 9.466271
237 9.432417,1104.109378,1237.048665,1618.702694 9.432417
238 9.433918,1109.205232,1266.064397,1625.065020 9.433918
239 9.240174,1166.454661,1310.906723,1659.308704 9.240174
240 9.355913,1124.350646,1297.840098,1644.461806 9.355913
241 9.387930,1092.153549,1266.248419,1620.201475 9.387930
242 9.430055,1116.540237,1247.346323,1604.339094 9.430055
243 9.399668,1129.281082,1258.834960,1614.801393 9.399668
244 9.402632,1091.721482,1277.880841,1616.140350 9.402632
245 9.470633,1085.312050,1214.241356,1575.655491 9.470633
246 9.451920,1094.983790,1202.750384,1553.188353 9.451920
247 9.414044,1079.262700,1256.832992,1604.679708 9.414044
248 9.939826,986.138978,1073.287699,1435.641111 9.939826
249 9.862728,1014.511094,1120.391108,1441.429471 9.862728
250 9.896372,1004.122128,1111.406849,1453.134758 9.896372
251 9.835568,1013.112168,1167.242216,1472.949778 9.835568
252 9.864533,1077.861576,1140.819211,1502.413232 9.864533
253 9.708646,1054.770538,1137.904880,1522.146648 9.708646
254 9.677273,1073.308263,1177.339458,1483.763904 9.677273
255 9.915651,1025.437275,1109.589177,1438.214130 9.915651
256 9.972523,991.225378,1104.004750,1454.163506 9.972523
257 10.062896,962.779743,1114.634117,1437.842090 10.062896
258 10.006671,990.469416,1067.844044,1418.769620 10.006671
259 10.176861,934.080167,1034.908610,1404.184922 10.176861
260 10.531056,827.879328,942.084893,1333.657131 10.531056
261 10.216670,917.427111,1072.593549,1393.899404 10.216670
262 9.666889,1111.198928,1149.933466,1518.361306 9.666889
263 9.694086,1070.130255,1155.889321,1502.716384 9.694086
264 9.572092,1100.033121,1184.099907,1546.341145 9.572092
265 9.276196,1179.869723,1314.570343,1611.238681 9.276196
266 9.324682,1179.566640,1307.092696,1601.396453 9.324682
